File,Size,BlockSize,CompressionRatio,Time,Memory
demo.txt,91,500000,111.0,0.5,N/A
binary.dat,1000000,500000,100.0,339.4,N/A
canterbury_alice.txt,151191,500000,100.0,77.5,N/A
